X Y
Точки Y, D, O и F задают четырехугольник. YD = 23 см, YO = 22 см. Найти площадь данной фигуры.	[{"type": "quadrilateral", "name": YDOF}]
Определите, лежит ли точка (4, 5) внутри или снаружи треугольника JQM с вершинами в (1, 2), (3, 4) и (5, 6)	[{"type": "triangle", "name": "JQM"}]
Точки T, N, S и J задают квадрат. TN = 12 см, TS = 13 см. Найти площадь данной фигуры.	[{"type": "square", "name": TNSJ}]
Докажите, что диагонали трапеции EJZU не обязательно являются взаимно перпендикулярными биссектрисами.	[{"type": "trapezoid", "name": "EJZU"}]
Найдите длину диагонали четырехугольника PYFU со сторонами 4 см, 6 см и 8 см.	[{"type": "quadrilateral", "name": "PYFU"}]
Определите самую длинную сторону треугольника ASB, учитывая, что его углы относятся как 4:5:6.	[{"type": "triangle", "name": "ASB"}]
Точки U, F, I и P задают трапеция. UF = 21 см, UI = 24 см. Найти площадь данной фигуры.	[{"type": "trapezoid", "name": UFIP}]
Точки I, U, A и N задают прямоугольник. IU = 18 см, IA = 24 см. Найти площадь данной фигуры.	[{"type": "rectangle", "name": IUAN}]
Найдите величину ∠C в трапеции PDQF, если ∠A = 110°.	[{"type": "trapezoid", "name": "PDQF"}]
Найдите площадь четырехугольника HGTK, основание которого равно 10 см, высота 6 см и один угол равен 60°.	[{"type": "quadrilateral", "name": "HGTK"}]
Точки E, A, H и B задают трапеция. EA = 23 см, EH = 6 см. Найти площадь данной фигуры.	[{"type": "trapezoid", "name": EAHB}]
Определите периметр прямоугольного треугольника WPF со сторонами 42 см и 48 см и разностороннего треугольника EMR со сторонами 44 см, 46 см и 52 см	[{"type": "triangle", "name": "WPF"}, {"type": "triangle", "name": "EMR"}]
Найти периметр параллелограмма, основания которого MK = 19 см, JY = 3 см, а высота равна 25 см.	[{"type": "parallelogram", "name": MKJY}]
Найдите величину ∠A в квадрате MWQB, если диагонали AC и BD пересекаются под углом 90°.	[{"type": "square", "name": "MWQB"}]
Найти периметр прямоугольника, основания которого ZQ = 7 см, JA = 16 см, а высота равна 13 см.	[{"type": "rectangle", "name": ZQJA}]
Найти периметр трапеции, основания которого AH = 8 см, KX = 21 см, а высота равна 22 см.	[{"type": "trapezoid", "name": AHKX}]
Точки Z, M, Q и E задают трапеция. ZM = 18 см, ZQ = 18 см. Найти площадь данной фигуры.	[{"type": "trapezoid", "name": ZMQE}]
Основания квадрата AJ = 7 см, RV = 15 см. Найти диагональ.	[{"type": "square", "name": AJRV}]
В трапеции XTNK, если AB = CD и AD = BC, как называется трапеция?	[{"type": "trapezoid", "name": "XTNK"}]
Найти периметр четырехугольника, основания которого TG = 20 см, ZV = 12 см, а высота равна 25 см.	[{"type": "quadrilateral", "name": TGZV}]
Найдите величину ∠B в трапеции JIRY, если ∠A = 90°.	[{"type": "trapezoid", "name": "JIRY"}]
Найдите сумму внутренних углов равнобедренного треугольника WTX с основанием 38 см и равными сторонами 36 см, а также разностороннего треугольника GRP со сторонами 45 см, 47 см и 53 см	[{"type": "triangle", "name": "WTX"}, {"type": "triangle", "name": "GRP"}]
Вычислите координаты центра и радиус вписанной окружности для треугольника TFW с вершинами (1, 2), (3, 4) и (5, 6)	[{"type": "triangle", "name": "TFW"}]
Основания четырехугольника QP = 23 см, GA = 20 см. Найти диагональ.	[{"type": "quadrilateral", "name": QPGA}]
Основания четырехугольника SI = 22 см, QC = 14 см. Найти диагональ.	[{"type": "quadrilateral", "name": SIQC}]
Последовательность точек T, H, U и P задаёт параллелограмм, при этом расстояние от T до H равно 20 см, а расстояние между T и U составляет 12 см. Найти периметр данной параллелограмм.	[{"type": "parallelogram", "name": THUP}]
Последовательность точек W, G, V и Z задаёт прямоугольник, при этом расстояние от W до G равно 23 см, а расстояние между W и V составляет 17 см. Найти периметр данной прямоугольник.	[{"type": "rectangle", "name": WGVZ}]
Определите гипотенузу остроугольного треугольника ZWT с углами 45°, 60° и 75° и разностороннего треугольника APS со сторонами 55 см, 57 см и 67 см	[{"type": "triangle", "name": "ZWT"}, {"type": "triangle", "name": "APS"}]
Как называется четырехугольник GOWB, если AB = CD и AD = BC?	[{"type": "quadrilateral", "name": "GOWB"}]
Последовательность точек F, J, W и U задаёт трапеция, при этом расстояние от F до J равно 25 см, а расстояние между F и W составляет 9 см. Найти периметр данной трапеция.	[{"type": "trapezoid", "name": FJWU}]
Найдите величину ∠B в четырехугольнике YCBF, если ∠A = 75°.	[{"type": "quadrilateral", "name": "YCBF"}]
Последовательность точек G, L, R и P задаёт прямоугольник, при этом расстояние от G до L равно 12 см, а расстояние между G и R составляет 13 см. Найти периметр данной прямоугольник.	[{"type": "rectangle", "name": GLRP}]
Найдите площадь трапеции VIBG, основания которой равны 22 см и 25 см, а высота 18 см.	[{"type": "trapezoid", "name": "VIBG"}]
Точки O, H, B и L задают четырехугольник. OH = 11 см, OB = 23 см. Найти площадь данной фигуры.	[{"type": "quadrilateral", "name": OHBL}]
Найдите площадь параллелограмма QZIP с вершинами в точках (0, 0), (7, 0), (7, 12) и (0, 12).	[{"type": "parallelogram", "name": "QZIP"}]
Какова площадь четырехугольника QTPZ, основание которого равно 18 см, а высота — 16 см?	[{"type": "quadrilateral", "name": "QTPZ"}]
Найдите площадь квадрата RSWJ со стороной 25 см.	[{"type": "square", "name": "RSWJ"}]
Найдите площадь параллелограмма ZDMO, основание которого равно 20 см, а высота — 18 см.	[{"type": "parallelogram", "name": "ZDMO"}]
Определите сумму внутренних углов остроугольного треугольника TRU с углами 45°, 60° и 75°, а также равностороннего треугольника OCB со стороной 62 см	[{"type": "triangle", "name": "TRU"}, {"type": "triangle", "name": "OCB"}]
Как называется параллелограмм GOHT, если AB = CD и AD = BC?	[{"type": "parallelogram", "name": "GOHT"}]
Как называется четырехугольник URTW, если AB = CD и AD = BC?	[{"type": "quadrilateral", "name": "URTW"}]
Найти периметр четырехугольника, основания которого XK = 12 см, ZJ = 7 см, а высота равна 8 см.	[{"type": "quadrilateral", "name": XKZJ}]
Последовательность точек F, X, R и N задаёт параллелограмм, при этом расстояние от F до X равно 8 см, а расстояние между F и R составляет 22 см. Найти периметр данной параллелограмм.	[{"type": "parallelogram", "name": FXRN}]
Как называется параллелограмм DOFX, если AB = CD и AD = BC?	[{"type": "parallelogram", "name": "DOFX"}]
Найти периметр прямоугольника, основания которого SV = 6 см, FO = 4 см, а высота равна 16 см.	[{"type": "rectangle", "name": SVFO}]
Точки M, Y, C и P задают четырехугольник. MY = 10 см, MC = 3 см. Найти площадь данной фигуры.	[{"type": "quadrilateral", "name": MYCP}]
Если стороны треугольника FLX относятся как 1:2:3, найдите длину самой длинной стороны, если периметр равен 45 см.	[{"type": "triangle", "name": "FLX"}]
Найдите длину диагонали параллелограмма DUJQ, стороны которого равны 6 см и 8 см.	[{"type": "parallelogram", "name": "DUJQ"}]
Как называется четырехугольник KLJX с двумя парами параллельных сторон?	[{"type": "quadrilateral", "name": "KLJX"}]
Последовательность точек M, I, Q и V задаёт четырехугольник, при этом расстояние от M до I равно 25 см, а расстояние между M и Q составляет 2 см. Найти периметр данной четырехугольник.	[{"type": "quadrilateral", "name": MIQV}]
Основания прямоугольника AD = 3 см, OG = 16 см. Найти диагональ.	[{"type": "rectangle", "name": ADOG}]
В трапеции ZXMA, если AB = CD и AD = BC, как называется трапеция?	[{"type": "trapezoid", "name": "ZXMA"}]
Определите, подобен ли треугольник TZW треугольнику UVW со сторонами длиной 5:3:4 и 6:4:5 соответственно	[{"type": "triangle", "name": "TZW"}]
Найти периметр четырехугольника, основания которого GS = 14 см, RJ = 11 см, а высота равна 6 см.	[{"type": "quadrilateral", "name": GSRJ}]
Основания квадрата QC = 16 см, JV = 5 см. Найти диагональ.	[{"type": "square", "name": QCJV}]
Определите площадь треугольника JNE со сторонами длиной 7, 8 и 9 единиц по формуле Герона	[{"type": "triangle", "name": "JNE"}]
Найти периметр квадрата, основания которого MF = 24 см, ZE = 8 см, а высота равна 22 см.	[{"type": "square", "name": MFZE}]
Найдите площадь четырехугольника QUTK с вершинами в точках (0, 0), (9, 0), (9, 15) и (0, 15).	[{"type": "quadrilateral", "name": "QUTK"}]
Найдите высоту остроугольного треугольника LSX с углами 45°, 60° и 75°, а также равнобедренного треугольника HDI с основанием 25 см и равными сторонами 23 см	[{"type": "triangle", "name": "LSX"}, {"type": "triangle", "name": "HDI"}]
Найти периметр прямоугольника, основания которого GY = 5 см, CQ = 24 см, а высота равна 14 см.	[{"type": "rectangle", "name": GYCQ}]
Точки O, S, L и P задают параллелограмм. OS = 24 см, OL = 25 см. Найти площадь данной фигуры.	[{"type": "parallelogram", "name": OSLP}]
Вычислите длину высоты из вершины C в треугольнике DAR со сторонами длиной 3, 4 и 5 единиц и используйте ее, чтобы найти длину биссектрисы угла C	[{"type": "triangle", "name": "DAR"}]
Какова площадь трапеции GVYW, основания которой равны 25 см и 28 см, а высота 20 см?	[{"type": "trapezoid", "name": "GVYW"}]
Найдите сумму внутренних углов равнобедренного треугольника OLM с основанием 22 см и равными сторонами 20 см, а также разностороннего треугольника XTH со сторонами 25 см, 27 см и 30 см	[{"type": "triangle", "name": "OLM"}, {"type": "triangle", "name": "XTH"}]
Основания прямоугольника EA = 20 см, SG = 5 см. Найти диагональ.	[{"type": "rectangle", "name": EASG}]
Вычислите недостающую величину угла в треугольнике MCI, если углы относятся как 5:7:8.	[{"type": "triangle", "name": "MCI"}]
Найти периметр трапеции, основания которого PS = 21 см, IZ = 13 см, а высота равна 19 см.	[{"type": "trapezoid", "name": PSIZ}]
В квадрате SLWI, если ∠A = 90°, найдите величины оставшихся трех углов.	[{"type": "square", "name": "SLWI"}]
Найдите величину ∠A в трапеции PSCT, если AB = 22 см, BC = 25 см, CD = 22 см и DA = 25 см.	[{"type": "trapezoid", "name": "PSCT"}]
Вычислите площадь равнобедренного треугольника GQF с основанием 62 см и равными сторонами 60 см, а также разностороннего треугольника VPC со сторонами 74 см, 76 см и 90 см	[{"type": "triangle", "name": "GQF"}, {"type": "triangle", "name": "VPC"}]
Вычислите высоту равностороннего треугольника ATL со стороной 66 см и остроугольного треугольника OHW с углами 30°, 60° и 90°	[{"type": "triangle", "name": "ATL"}, {"type": "triangle", "name": "OHW"}]
Основания четырехугольника BX = 18 см, IJ = 6 см. Найти диагональ.	[{"type": "quadrilateral", "name": BXIJ}]
Найдите недостающий угол в прямоугольном треугольнике KAY, длина катета которого равна 7 см, а гипотенуза 25 см.	[{"type": "triangle", "name": "KAY"}]
Основания квадрата XS = 22 см, CP = 12 см. Найти диагональ.	[{"type": "square", "name": XSCP}]
Докажите, что сумма внутренних углов четырехугольника QWYP равна 360°.	[{"type": "quadrilateral", "name": "QWYP"}]
Последовательность точек Y, I, K и R задаёт прямоугольник, при этом расстояние от Y до I равно 6 см, а расстояние между Y и K составляет 6 см. Найти периметр данной прямоугольник.	[{"type": "rectangle", "name": YIKR}]
Как называется квадрат SDZK, у которого все углы прямые?	[{"type": "square", "name": "SDZK"}]
Как называется квадрат NVJR, у которого все углы прямые?	[{"type": "square", "name": "NVJR"}]
Найдите сумму внутренних углов разностороннего треугольника AHU со сторонами 35 см, 37 см и 40 см, а также равнобедренного треугольника GNQ с основанием 30 см и равными сторонами 28 см	[{"type": "triangle", "name": "AHU"}, {"type": "triangle", "name": "GNQ"}]
Найти периметр квадрата, основания которого EL = 12 см, MQ = 20 см, а высота равна 10 см.	[{"type": "square", "name": ELMQ}]
Найдите сумму внутренних углов разностороннего треугольника FLC со сторонами 80 см, 82 см и 98 см, а также равнобедренного треугольника INO с основанием 70 см и равными сторонами 68 см	[{"type": "triangle", "name": "FLC"}, {"type": "triangle", "name": "INO"}]
Определите периметр прямоугольного треугольника YBV со сторонами 66 см и 76 см и разностороннего треугольника CRK со сторонами 68 см, 70 см и 82 см	[{"type": "triangle", "name": "YBV"}, {"type": "triangle", "name": "CRK"}]
Вычислите периметр разностороннего треугольника PWB со сторонами 48 см, 50 см и 56 см, а также равностороннего треугольника XLY со стороной 44 см	[{"type": "triangle", "name": "PWB"}, {"type": "triangle", "name": "XLY"}]
Найдите площадь четырехугольника EFPS, основание которого равно 22 см, а высота — 20 см.	[{"type": "quadrilateral", "name": "EFPS"}]
В четырехугольнике DQCB, если ∠A = 90° и ∠B = 45°, найдите величину ∠C.	[{"type": "quadrilateral", "name": "DQCB"}]
Как называется четырехугольник XNMR, у которого все стороны одинаковой длины и все углы прямые?	[{"type": "quadrilateral", "name": "XNMR"}]
Найти периметр параллелограмма, основания которого IZ = 21 см, JE = 13 см, а высота равна 3 см.	[{"type": "parallelogram", "name": IZJE}]
Найдите площадь квадрата ARXK со стороной 42 см.	[{"type": "square", "name": "ARXK"}]
Найдите длину медианы из вершины C в треугольнике YVF со сторонами длиной 7, 8 и 9 единиц и вычислите ее наклон	[{"type": "triangle", "name": "YVF"}]
Определите сумму внутренних углов остроугольного треугольника DJA с углами 45°, 60° и 75° и равностороннего треугольника OSI со стороной 38 см	[{"type": "triangle", "name": "DJA"}, {"type": "triangle", "name": "OSI"}]
Найдите длину медианы трапеции EOBQ, основания которой равны 18 см и 20 см, а высота — 12 см.	[{"type": "trapezoid", "name": "EOBQ"}]
Найдите площадь квадрата TPUE со стороной 28 см.	[{"type": "square", "name": "TPUE"}]
Найдите площадь квадрата MRFY с вершинами в точках (0, 0), (10, 0), (10, 10) и (0, 10).	[{"type": "square", "name": "MRFY"}]
Найдите величину ∠B в трапеции NLPV, если ∠A = 90°.	[{"type": "trapezoid", "name": "NLPV"}]
Найдите длину медианы из вершины B в треугольнике BYV со сторонами длиной 5, 6 и 7 единиц и докажите, что она является высотой треугольника тогда и только тогда, когда он прямоугольный	[{"type": "triangle", "name": "BYV"}]
Как называется квадрат FIYM, у которого все углы прямые?	[{"type": "square", "name": "FIYM"}]
Найдите площадь трапеции VDEJ, основания которой равны 12 см и 15 см, а высота 10 см.	[{"type": "trapezoid", "name": "VDEJ"}]
Найти периметр трапеции, основания которого SZ = 24 см, CK = 10 см, а высота равна 9 см.	[{"type": "trapezoid", "name": SZCK}]
Найдите площадь трапеции YJTH, основания которой равны 18 см и 22 см, а высота 14 см.	[{"type": "trapezoid", "name": "YJTH"}]
Найти периметр квадрата, основания которого FR = 13 см, OA = 11 см, а высота равна 20 см.	[{"type": "square", "name": FROA}]
Основания трапеции TM = 10 см, RJ = 24 см. Найти диагональ.	[{"type": "trapezoid", "name": TMRJ}]
Какова площадь параллелограмма TYLJ, основание которого равно 10 см, а высота — 8 см?	[{"type": "parallelogram", "name": "TYLJ"}]
Найдите величину ∠C в параллелограмме YNGS, если ∠A = 45°.	[{"type": "parallelogram", "name": "YNGS"}]
В квадрате DRUJ, если AB = CD и AD = BC, как называется квадрат?	[{"type": "square", "name": "DRUJ"}]
Докажите, что диагонали трапеции WBOL пересекаются под углом 90°.	[{"type": "trapezoid", "name": "WBOL"}]
В параллелограмме UXNH, если ∠A = 30°, найдите величину ∠B.	[{"type": "parallelogram", "name": "UXNH"}]
Рассчитайте длину высоты от вершины C в треугольнике OKE с сторонами длины 3, 4 и 5 единиц и используйте его, чтобы найти расстояние между средними точками боковых сторон LM и Mn	[{"type": "triangle", "name": "OKE"}]
В квадрате HWLI, если AB = CD и AD = BC, как называется квадрат?	[{"type": "square", "name": "HWLI"}]
Найдите периметр трапеции IHFV, основания которой равны 18 см и 20 см, а высота 14 см.	[{"type": "trapezoid", "name": "IHFV"}]
В квадрате VWQX, если AB = CD и AD = BC, как называется квадрат?	[{"type": "square", "name": "VWQX"}]
Определите площадь прямоугольного треугольника NAH с катетами 9 см и 12 см и разностороннего треугольника TKE со сторонами 8 см, 10 см и 14 см	[{"type": "triangle", "name": "NAH"}, {"type": "triangle", "name": "TKE"}]
Найдите длину диагонали трапеции GENJ, основания которой равны 16 см и 18 см, а высота 10 см.	[{"type": "trapezoid", "name": "GENJ"}]
В четырехугольнике QPYG, если AB = CD и AD = BC, найти меру ∠A.	[{"type": "quadrilateral", "name": "QPYG"}]
Найти периметр параллелограмма, основания которого NB = 15 см, LU = 3 см, а высота равна 22 см.	[{"type": "parallelogram", "name": NBLU}]
Основания четырехугольника BU = 11 см, GX = 8 см. Найти диагональ.	[{"type": "quadrilateral", "name": BUGX}]
Определить, образуют ли три данные точки равносторонний треугольник IUA	[{"type": "triangle", "name": "IUA"}]
Найти периметр параллелограмма, основания которого BO = 14 см, LV = 17 см, а высота равна 13 см.	[{"type": "parallelogram", "name": BOLV}]
Найдите величину ∠A в трапеции LSZQ, если диагонали AC и BD пересекаются под углом 60°.	[{"type": "trapezoid", "name": "LSZQ"}]
Определите гипотенузу остроугольного треугольника QFB с углами 45°, 60° и 75° и разностороннего треугольника ZGC со сторонами 34 см, 36 см и 42 см	[{"type": "triangle", "name": "QFB"}, {"type": "triangle", "name": "ZGC"}]
Последовательность точек N, V, O и P задаёт прямоугольник, при этом расстояние от N до V равно 20 см, а расстояние между N и O составляет 8 см. Найти периметр данной прямоугольник.	[{"type": "rectangle", "name": NVOP}]
Докажите, что диагонали четырехугольника YNWK не обязательно являются взаимно перпендикулярными биссектрисами.	[{"type": "quadrilateral", "name": "YNWK"}]
В квадрате PZMX, если ∠A = 90°, найдите величину ∠B.	[{"type": "square", "name": "PZMX"}]
Как называется параллелограмм LAWI, у которого все стороны имеют одинаковую длину?	[{"type": "parallelogram", "name": "LAWI"}]
В параллелограмме TGOA, если ∠A = 75°, найдите величину ∠B.	[{"type": "parallelogram", "name": "TGOA"}]
Основания квадрата XF = 18 см, MS = 5 см. Найти диагональ.	[{"type": "square", "name": XFMS}]
Как называется четырёхугольник IQUA, у которого все углы прямые и все стороны разной длины?	[{"type": "quadrilateral", "name": "IQUA"}]
Найти периметр прямоугольника, основания которого UR = 8 см, YA = 25 см, а высота равна 11 см.	[{"type": "rectangle", "name": URYA}]
Последовательность точек T, N, X и W задаёт трапеция, при этом расстояние от T до N равно 12 см, а расстояние между T и X составляет 6 см. Найти периметр данной трапеция.	[{"type": "trapezoid", "name": TNXW}]
Последовательность точек Z, F, J и H задаёт параллелограмм, при этом расстояние от Z до F равно 14 см, а расстояние между Z и J составляет 2 см. Найти периметр данной параллелограмм.	[{"type": "parallelogram", "name": ZFJH}]
Найдите длину медианы трапеции KYUP, основания которой равны 14 см и 16 см, а высота — 10 см.	[{"type": "trapezoid", "name": "KYUP"}]
Вычислите углы треугольника FBT, если два угла равны и каждый равен 60°.	[{"type": "triangle", "name": "FBT"}]
Найти периметр параллелограмма, основания которого QU = 20 см, ZK = 15 см, а высота равна 17 см.	[{"type": "parallelogram", "name": QUZK}]
Вычислите высоту разностороннего треугольника WKG со сторонами 100 см, 102 см и 130 см, а также равнобедренного треугольника BVA с основанием 88 см и равными сторонами 86 см	[{"type": "triangle", "name": "WKG"}, {"type": "triangle", "name": "BVA"}]
Как называется квадрат CVLQ, у которого все стороны одинаковой длины и все углы прямые?	[{"type": "square", "name": "CVLQ"}]
Последовательность точек D, I, V и T задаёт квадрат, при этом расстояние от D до I равно 11 см, а расстояние между D и V составляет 4 см. Найти периметр данной квадрат.	[{"type": "square", "name": DIVT}]
Как называется параллелограмм YZLT, у которого все стороны равны и все углы прямые?	[{"type": "parallelogram", "name": "YZLT"}]
Определите площадь прямоугольного треугольника UXS с катетами 58 см и 70 см, а также остроугольного треугольника EMP с углами 30°, 60° и 90°	[{"type": "triangle", "name": "UXS"}, {"type": "triangle", "name": "EMP"}]
Точки G, L, O и U задают четырехугольник. GL = 24 см, GO = 12 см. Найти площадь данной фигуры.	[{"type": "quadrilateral", "name": GLOU}]
Как называется параллелограмм OTZY, если AB = CD и AD = BC?	[{"type": "parallelogram", "name": "OTZY"}]
Определите, является ли треугольник CBP остроугольным, если его стороны имеют длины 5, 6 и 7 единиц	[{"type": "triangle", "name": "CBP"}]
Найдите площадь треугольника HCR, если высота 9 см, а основание 12 см.	[{"type": "triangle", "name": "HCR"}]
Найдите площадь четырехугольника BQEO с вершинами в точках (1, 1), (4, 1), (4, 5) и (1, 5).	[{"type": "quadrilateral", "name": "BQEO"}]
Последовательность точек F, Y, D и O задаёт квадрат, при этом расстояние от F до Y равно 23 см, а расстояние между F и D составляет 21 см. Найти периметр данной квадрат.	[{"type": "square", "name": FYDO}]
Найдите периметр квадрата OGUW со стороной 60 см.	[{"type": "square", "name": "OGUW"}]
Основания четырехугольника FH = 11 см, EC = 4 см. Найти диагональ.	[{"type": "quadrilateral", "name": FHEC}]
Найти периметр трапеции, основания которого JY = 24 см, LE = 22 см, а высота равна 14 см.	[{"type": "trapezoid", "name": JYLE}]
Найдите площадь четырехугольника UMKD с вершинами в точках (0, 0), (2, 0), (2, 4) и (0, 4).	[{"type": "quadrilateral", "name": "UMKD"}]
Определите, является ли треугольник GQR косоугольным, если его стороны имеют длины 5, 6 и 7 единиц	[{"type": "triangle", "name": "GQR"}]
Точки H, I, N и J задают трапеция. HI = 5 см, HN = 4 см. Найти площадь данной фигуры.	[{"type": "trapezoid", "name": HINJ}]
Определите гипотенузу разностороннего треугольника UEA со сторонами 10 см, 12 см и 16 см и прямоугольного треугольника GTH с катетами 10 см и 24 см	[{"type": "triangle", "name": "UEA"}, {"type": "triangle", "name": "GTH"}]
Найти периметр прямоугольника, основания которого GM = 9 см, WS = 11 см, а высота равна 25 см.	[{"type": "rectangle", "name": GMWS}]
Найдите величину ∠C в четырехугольнике TCFN, если ∠A = 110°.	[{"type": "quadrilateral", "name": "TCFN"}]
Последовательность точек R, C, Y и H задаёт трапеция, при этом расстояние от R до C равно 11 см, а расстояние между R и Y составляет 6 см. Найти периметр данной трапеция.	[{"type": "trapezoid", "name": RCYH}]
Докажите, что сумма внутренних углов четырехугольника MBCD всегда равна сумме внутренних углов двух треугольников.	[{"type": "quadrilateral", "name": "MBCD"}]
В треугольнике TSO угол D равен 70°, а угол F равен 4x. Найдите значение х.	[{"type": "triangle", "name": "TSO"}]
Найдите длину диагонали параллелограмма GWEC, стороны которого равны 8 см и 10 см.	[{"type": "parallelogram", "name": "GWEC"}]
Вычислите площадь треугольника RWI, зная, что его углы равны 40°, 60° и 80°.	[{"type": "triangle", "name": "RWI"}]
Последовательность точек H, J, E и Y задаёт прямоугольник, при этом расстояние от H до J равно 24 см, а расстояние между H и E составляет 20 см. Найти периметр данной прямоугольник.	[{"type": "rectangle", "name": HJEY}]
Вычислите площадь равнобедренного треугольника VRZ с основанием 42 см и равными сторонами 40 см, а также разностороннего треугольника EHY со сторонами 50 см, 52 см и 60 см	[{"type": "triangle", "name": "VRZ"}, {"type": "triangle", "name": "EHY"}]
В трапеции GOLF, если AB = CD и AD = BC, как называется трапеция?	[{"type": "trapezoid", "name": "GOLF"}]
Докажите, что диагонали трапеции GQLS пересекаются под углом 90°.	[{"type": "trapezoid", "name": "GQLS"}]
Основания квадрата YD = 15 см, VK = 11 см. Найти диагональ.	[{"type": "square", "name": YDVK}]
Последовательность точек J, L, I и V задаёт параллелограмм, при этом расстояние от J до L равно 13 см, а расстояние между J и I составляет 10 см. Найти периметр данной параллелограмм.	[{"type": "parallelogram", "name": JLIV}]
Последовательность точек M, Y, R и W задаёт квадрат, при этом расстояние от M до Y равно 17 см, а расстояние между M и R составляет 21 см. Найти периметр данной квадрат.	[{"type": "square", "name": MYRW}]
Последовательность точек U, T, D и I задаёт четырехугольник, при этом расстояние от U до T равно 10 см, а расстояние между U и D составляет 2 см. Найти периметр данной четырехугольник.	[{"type": "quadrilateral", "name": UTDI}]
Основания параллелограмма FP = 24 см, TI = 19 см. Найти диагональ.	[{"type": "parallelogram", "name": FPTI}]
В квадрате MNKD, если AB = BC = CD = DA, найдите меру ∠A.	[{"type": "square", "name": "MNKD"}]
Найдите длину медианы из вершины A в треугольнике QDP со сторонами длиной 5, 6 и 7 единиц и докажите, что она делит пополам угол между сторонами DE и DF тогда и только тогда, когда треугольник равнобедренный	[{"type": "triangle", "name": "QDP"}]
Последовательность точек D, L, I и N задаёт прямоугольник, при этом расстояние от D до L равно 17 см, а расстояние между D и I составляет 20 см. Найти периметр данной прямоугольник.	[{"type": "rectangle", "name": DLIN}]
Основания прямоугольника JS = 12 см, ZD = 10 см. Найти диагональ.	[{"type": "rectangle", "name": JSZD}]
Найдите уравнения высот треугольника EIO с вершинами (1, 2), (3, 4) и (5, 6)	[{"type": "triangle", "name": "EIO"}]
Найдите периметр четырехугольника OJKU со сторонами 3 см, 5 см, 7 см и 9 см.	[{"type": "quadrilateral", "name": "OJKU"}]
Основания параллелограмма FT = 24 см, YN = 6 см. Найти диагональ.	[{"type": "parallelogram", "name": FTYN}]
Найдите периметр параллелограмма WMUD, стороны которого равны 12 см и 15 см.	[{"type": "parallelogram", "name": "WMUD"}]
Найти периметр параллелограмма, основания которого IE = 25 см, KH = 22 см, а высота равна 25 см.	[{"type": "parallelogram", "name": IEKH}]
Определите, является ли треугольник XBP прямоугольным, если гипотенуза равна 15 см, а длина одного катета 9 см.	[{"type": "triangle", "name": "XBP"}]
Вычислите недостающую величину угла в треугольнике UGT, если углы относятся как 3:4:5.	[{"type": "triangle", "name": "UGT"}]
Как называется четырехугольник MDKH, если AC = BD?	[{"type": "quadrilateral", "name": "MDKH"}]
Основания квадрата ZN = 8 см, JH = 4 см. Найти диагональ.	[{"type": "square", "name": ZNJH}]
Найдите величину ∠C в параллелограмме KWXF, если ∠A = 45°.	[{"type": "parallelogram", "name": "KWXF"}]
Последовательность точек T, R, J и Q задаёт трапеция, при этом расстояние от T до R равно 19 см, а расстояние между T и J составляет 21 см. Найти периметр данной трапеция.	[{"type": "trapezoid", "name": TRJQ}]
Найдите длину диагонали параллелограмма WSRL, стороны которого равны 12 см и 15 см.	[{"type": "parallelogram", "name": "WSRL"}]
Найдите величину ∠B в трапеции HLQX, если ∠A = 70°.	[{"type": "trapezoid", "name": "HLQX"}]
Как называется четырехугольник NLAR с двумя парами параллельных сторон?	[{"type": "quadrilateral", "name": "NLAR"}]
Найдите периметр равнобедренного треугольника IKB с основанием 18 см и равными сторонами 16 см, а также тупоугольного треугольника TCJ со сторонами 20 см, 22 см и 26 см	[{"type": "triangle", "name": "IKB"}, {"type": "triangle", "name": "TCJ"}]
Основания параллелограмма IZ = 21 см, FN = 3 см. Найти диагональ.	[{"type": "parallelogram", "name": IZFN}]
Докажите, что диагонали квадрата PBGS пересекаются и делятся пополам под углом 90°.	[{"type": "square", "name": "PBGS"}]
Найдите длину диагонали четырехугольника HCKN со сторонами 6 см, 8 см и 10 см.	[{"type": "quadrilateral", "name": "HCKN"}]
Как называется параллелограмм PFMS, если AB = CD и AD = BC?	[{"type": "parallelogram", "name": "PFMS"}]
Найдите площадь параллелограмма JAER с вершинами в точках (0, 0), (4, 0), (4, 6) и (0, 6).	[{"type": "parallelogram", "name": "JAER"}]
Как называется параллелограмм PLEM, у которого все стороны имеют одинаковую длину и все внутренние углы имеют одинаковую величину?	[{"type": "parallelogram", "name": "PLEM"}]
Основания параллелограмма VX = 6 см, ZP = 19 см. Найти диагональ.	[{"type": "parallelogram", "name": VXZP}]
Найдите длину диагонали четырехугольника DFXU, стороны которого равны 14 см, 16 см и 18 см.	[{"type": "quadrilateral", "name": "DFXU"}]
Последовательность точек F, K, G и J задаёт прямоугольник, при этом расстояние от F до K равно 18 см, а расстояние между F и G составляет 13 см. Найти периметр данной прямоугольник.	[{"type": "rectangle", "name": FKGJ}]
Вычислите углы треугольника DOI, если два угла являются дополнительными, а третий угол равен 75°.	[{"type": "triangle", "name": "DOI"}]
В квадрате PKRN, если AB = BC = CD = DA, найдите меру ∠A.	[{"type": "square", "name": "PKRN"}]
Найти периметр прямоугольника, основания которого PH = 20 см, WR = 24 см, а высота равна 19 см.	[{"type": "rectangle", "name": PHWR}]
